                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.132,                 3.8448,                0.95976,                0.00495,                0.32449,                0.05631,                0.04676,                0.92577,                 3.7416,                0.94054,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                0.97258,                 3.6612,                0.94259,                0.00689,                0.45202,                0.11066,                0.06911,                0.93723,                 3.7306,                0.89936,             7.0035e-05,             7.0035e-05,             7.0035e-05
                      3,                 1.0612,                  3.171,                 0.9098,                 0.0078,                 0.4798,                0.18814,                0.11705,                0.94712,                 3.6732,                0.89727,             0.00010979,             0.00010979,             0.00010979
                      4,                 1.1182,                 2.5834,                0.92232,                0.00807,                0.50758,                0.21887,                0.14567,                 1.0459,                 3.5783,                0.92461,             0.00014785,             0.00014785,             0.00014785
                      5,                0.97214,                  1.826,                0.89887,                0.92662,                0.14785,                0.22998,                0.13565,                 1.1016,                 3.4979,                0.93699,             0.00018422,             0.00018422,             0.00018422
                      6,                0.91833,                 1.6287,                0.86177,                      1,                0.05947,                0.23873,                0.14999,                  1.068,                 3.4131,                0.92993,             0.00021888,             0.00021888,             0.00021888
                      7,                0.85753,                 1.4163,                0.89194,                      1,                0.06404,                0.26106,                0.17026,                 1.0616,                  3.362,                 0.9186,             0.00025185,             0.00025185,             0.00025185
                      8,                0.95827,                 1.5043,                0.91765,                      1,                0.06361,                0.27549,                0.17139,                 1.0723,                 3.3473,                0.93391,             0.00028312,             0.00028312,             0.00028312
                      9,                 0.9212,                 1.3983,                 0.9082,                      1,                0.03935,                0.27948,                0.17903,                 1.0405,                 3.3003,                0.93105,             0.00031269,             0.00031269,             0.00031269
                     10,                0.96382,                 1.4229,                0.89784,                      1,                0.04989,                0.28636,                0.17655,                 1.0666,                 3.3247,                0.93378,             0.00034056,             0.00034056,             0.00034056
                     11,                0.95454,                  1.405,                0.92623,                 0.5952,                0.26389,                0.30296,                0.17143,                 1.1151,                 3.3155,                 0.9658,             0.00036674,             0.00036674,             0.00036674
                     12,                0.92336,                 1.2995,                0.93194,                0.60439,                0.26389,                0.35358,                0.17825,                 1.1375,                 3.3082,                0.98324,             0.00039122,             0.00039122,             0.00039122
                     13,                0.88421,                 1.2188,                0.91883,                      1,                0.05314,                0.33939,                 0.2255,                 1.0743,                 3.3224,                0.98948,               0.000414,               0.000414,               0.000414
                     14,                0.91642,                 1.2567,                0.93344,                      1,                0.05275,                0.30023,                0.22145,                 1.0705,                 3.3277,                0.99925,             0.00043508,             0.00043508,             0.00043508
                     15,                0.81382,                 1.1882,                0.87394,                      1,                 0.0497,                0.19684,                0.15436,                 1.1555,                 3.3361,                 1.0093,             0.00045447,             0.00045447,             0.00045447
                     16,                0.91509,                 1.3207,                0.90029,                      1,                0.03797,                0.19098,                0.14752,                  1.222,                 3.3395,                 1.0418,             0.00047216,             0.00047216,             0.00047216
                     17,                0.87067,                 1.1826,                0.90182,                0.92114,                0.06944,                0.20348,                0.15691,                 1.1042,                 3.3801,                0.99865,             0.00048815,             0.00048815,             0.00048815
                     18,                0.85586,                 1.1292,                0.88831,                0.92121,                0.04545,                0.26448,                0.19922,                 1.0971,                 3.3039,                 1.0067,             0.00050244,             0.00050244,             0.00050244
                     19,                0.88993,                 1.2772,                0.91596,                0.89804,                0.03235,                0.35648,                0.25577,                 1.0766,                  3.218,                 1.0028,             0.00051503,             0.00051503,             0.00051503
                     20,                0.88046,                 1.1609,                0.91627,                      1,                0.03014,                0.40577,                0.28171,                 1.1037,                 3.1085,                 1.0117,             0.00052593,             0.00052593,             0.00052593
                     21,                0.87687,                 1.0753,                0.92644,                      1,                   0.07,                0.46157,                0.30627,                 1.1593,                 3.0347,                 1.0257,             0.00053513,             0.00053513,             0.00053513
                     22,                0.87309,                  1.198,                0.90421,                      1,                0.13477,                0.55433,                0.35071,                  1.208,                 2.9959,                 1.0557,             0.00054263,             0.00054263,             0.00054263
                     23,                0.90837,                 1.1165,                0.89797,                0.99639,                0.35572,                0.59669,                0.38302,                 1.1673,                 2.9742,                 1.0519,             0.00054844,             0.00054844,             0.00054844
                     24,                0.85708,                 1.0591,                0.89738,                      1,                 0.1633,                0.60639,                0.40055,                 1.1446,                  2.954,                 1.0499,             0.00055255,             0.00055255,             0.00055255
                     25,                0.84819,                 1.0725,                 0.9086,                      1,                0.04179,                0.62059,                0.40544,                 1.1693,                 2.8891,                 1.0526,             0.00055496,             0.00055496,             0.00055496
                     26,                0.82478,                 1.0567,                0.89259,                      1,                0.08968,                0.64811,                0.41515,                 1.2138,                 2.8067,                 1.0668,             0.00055567,             0.00055567,             0.00055567
